Week 	Has summary 	# of student 	# of Male 	# of POI 	# of MP 	# of LP
1 	True 	53 	34 	42 	42 	42
2 	True 	49 	32 	45 	45 	45
3 	True 	50 	30 	45 	45 	45
4 	True 	50 	31 	45 	45 	45
5 	True 	50 	31 	42 	42 	42
6 	True 	50 	31 	43 	42 	42
7 	True 	51 	31 	44 	44 	44
8 	True 	50 	32 	42 	42 	42
9 	True 	50 	32 	37 	37 	37
10 	True 	53 	33 	36 	36 	36
11 	True 	50 	31 	36 	36 	36
12 	True 	50 	31 	43 	43 	43
13 	False 	50 	31 	36 	36 	36
14 	False 	51 	31 	35 	35 	35
15 	False 	49 	31 	33 	33 	33
16 	False 	50 	31 	35 	35 	35
17 	False 	49 	31 	37 	37 	37
18 	False 	49 	31 	23 	23 	23
19 	False 	52 	31 	36 	36 	36
20 	False 	50 	32 	35 	35 	35
21 	False 	50 	32 	37 	37 	37
22 	False 	49 	31 	34 	33 	33
23 	False 	47 	28 	19 	19 	19
24 	False 	50 	30 	35 	35 	35
25 	False 	50 	32 	35 	35 	35
