week 	R2 	R-SU4 	R2 	R-SU4 	R2 	R-SU4
1 	0 	0.01408 	0 	0.00163 	0 	0.00675
2 	0.05769 	0.01273 	0.08391 	0.02526 	0 	0.00629
3 	0.15731 	0.07666 	0.06186 	0.0282 	0.01504 	0.02413
4 	0 	0.02883 	0.08333 	0.07785 	0 	0.00515
5 	0.09375 	0.0443 	0.0303 	0.01602 	0 	0.00976
6 	0 	0.03229 	0.0678 	0.03686 	0 	0.01034
7 	0.02564 	0.03453 	0.13636 	0.05425 	0 	0.00345
8 	0.04545 	0.01413 	0.08791 	0.04269 	0 	0.00293
9 	0.04762 	0.05819 	0.08 	0.11721 	0.02858 	0.02597
10 	0.02198 	0.02757 	0.02 	0.02505 	0.01818 	0.01518
11 	0.08861 	0.05373 	0.05714 	0.05497 	0.01197 	0.03811
