week 	R2 	R-SU4 	R2 	R-SU4 	R2 	R-SU4
1 	0 	0.01007 	0 	0.00292 	0 	0.00434
2 	0.05217 	0.01042 	0.10853 	0.03771 	0 	0.00569
3 	0.13593 	0.03985 	0.0678 	0.01125 	0.01274 	0.01646
4 	0 	0.01917 	0.11494 	0.09411 	0 	0.00348
5 	0.08823 	0.03459 	0.01869 	0.03031 	0 	0.00452
6 	0 	0.02086 	0.09375 	0.04861 	0.02597 	0.01616
7 	0.06316 	0.04201 	0.12346 	0.03146 	0 	0
8 	0.05556 	0.02375 	0.06742 	0.03909 	0 	0.00316
9 	0.16394 	0.0805 	0.09523 	0.14167 	0.03279 	0.03273
10 	0.03226 	0.05482 	0.02273 	0.03327 	0 	0.01698
11 	0.31206 	0.14088 	0.23377 	0.14293 	0 	0.02572
12 	0.08065 	0.102 	0.09091 	0.06152 	0 	0.00242
