Week 	TA:POI 	TA:MP 	TA:LP 	S:POI 	S:MP 	S:LP
1 	Group activity of analyzing bicycle's parts;Materials processing;The main topic of this course 	Grading process;Homework assignments;Differences between types of bonding 	Working in a small group;Picures and visuals;Teaching to others 	[1]  i thought it was interesting that only 3 families of materials were mentioned. do all materials fit into those categories? or are there others that not studied in this class?; [2]  i was interested in learning what i will be learning about this semester; [3]  the most interesting thing in today's class was learning about the grading scale because i have never heard of a normalized grading scale, and i like the fairness of it; 	[1]  the grading is kind of confusing but as the class progresses i am sure it will be more clear. by the sounds of it, the grading has been chosen based on a method that will ensure students equal fairness and an opportunity to succeed; [2]  i thought that straight into the activity was confusing because i know close to nothing about materials; [3]  i think that even though grade normalizing was interesting, i think it was somewhat confusing and needs a little more explaining; 	[1]  i like group discussions & learning, but not group assignments; [2]  i learned about different materials and i learned that i'm going to have to study hard for this class; [3]  i learned that i learn best by seeing things presented on the power point;
2 	Differents bonds and their effect on materials properties;Diamond Tthermal conduction;Motorcycle's parts activitiy 	Differences between types of bonding;Electrical properties;Print out was hard to read;Distinguishing the type of bonding based on the name of the material 	Activities and group working;Pictures, diagram and examples 	[1]  i found that the higher the electronegativity difference that the type of bonding changes. usually if its higher, the bonding is stronger and is usually ionic. this was fairly interesting for me.; [2]  i found all the different bonds and their characteristic very interesting and in the activity i thought it was interesting to figure out what a motorcycle was made of; [3]  i found it interesting to apply chemical bonding to parts of a motorcycle. in chemistry, we never applied bonding to materials like a car seat or windshield; 	[1]  i didn't understand the thermal properties very well, especially because i couldn't read the labels on the graphs clearly. thermal expansion + elastic modulus were totally new concepts for me; [2]  the worksheets are hard to read, and i think that there needs to be more explanation when talking about bonding and what type of materials have what type of bonding; [3]  the muddiest point i would have to say would have been the first activity. at first i wasn't sure what was supposed to be done and i really had no idea how to complete the activity; 	[1]  i think if work sheets required me to explain, i would think more critically; [2]  i learned that i learn better and stay more focused when we do the in class activities since i can see the application of what we learn put into play right away; [3]  i learned that i need to ask questions about what i don't understand;
3 	How bond strength is related to melting point;Relative strenghts of different bond types;Elastic modulus;How plastic bags are made by polymer fil blowing 	Graphs of attraction/ repulsive & atomic separation;Properties and equations with bond strength;Coefficient of thermal expansion;Activity part III 	Activities;Reading ahead;Negative: Bad Class environment (like turning to see the board, not being able to read the white board, noises from other classes, etcâ€¦);Graphs are helpful if they come along side text 	[1]  bond energy diagram and its relationship to coeff of thermal expansion; [2]  i like learning about the microscopic explanation for the microscopic properties, especially, i liked learning about bond strengths; [3]  how bond strength is related to melting point and that melting point is on the periodic table; 	[1]  4: axes on coefficient of thermal expansion graph5:hooke's law-you need a laser pointer,15% of the class can't see what you are pointing at; [2]  we jumped right into several slides with complicated graphs and undefined variables. i couldn't understand the trends; [3]  i think graphs and equations are hard to understand because i'm unfamiliar with the terms and equations; 	[1]  revision of topics i learned in another class helps a lot with these concepts; [2]  i figured out that i learn the best when we do the in-class activities and then work out the problems by table. it helps in case you got a wrong answer and want the correct answer and get an explanation of why it was wrong.; [3]  i learned, or rather remembered, that i find group activities to not be helpful at all. lectures are interesting & stimulating when they're on new material, but reworking the same in activities does not help me in the slightest. i would prefer to learn more concepts with my time than spend 15 min on a 5 min "activity". sorry i'm just being honest.;
4 	Specific structure & their properties;The real world examples and disasters relation to materials 	In class activities (Spectially the first activity);Atomic Packing Factor and relation between a&r;Which structure produce which materials' properties and how unit cell affects the processing 	Group activities are great;Need more explanation before doing activities;Pictures and visuals 	[1]  you can grow silicon in different crystal structures (100, 111, 110) and this dictate the properties & type of transistor you can build; [2]  it was interesting to bring in history ( napoleon) to class. its easier to see a connection when i can see real life examples.; [3]  i thought it was interesting that shape metal alloys were used in nuclear submarines to protect the people from ¡K themselves with the water; 	[1]  the math involved with finding atomic packing factor, and the relationship between a and r; [2]  i thought the unit cell activities were confusing because not everyitem was well explained; [3]  unit cell transformation pictures in 1st activity, 2nd activity (characteristics) # of atomic radii along touch directions with in unice cell; 	[1]  i learn better when i can see what the professor is pointing at; [2]  because we had a different professor than normal, i learned that i can only learn by some professors. some are harder to learn from than others. *also, i'm visual person.; [3]  i learned that i don¡¦t learn very well when the lecture begings to talk and teach at a very fast pace;
5 	Unit cell direction drawing and indexing;Real world examples;Importance of cell direction on materials properties 	Indexing (most confusing was: choosing the nw origin, then directions within unit cell and then fractions for indecies);Differences between unit cells  (BCC, FCC, etc), unit cell calculations related to r & a, unit cell volume;APF and determining close packing 	Group activities help specially because of having the 4 steps instruction;Visuals help (pictures and graphs);Reviewing last week topic helps 	[1]  unit cell directions, i like the method to draw the direction; [2]  i found the activities interesting because i feel i understand the concept of the structure of unit cells; [3]  i thought that the unit cell directions was the most interesting of all those topics discussed; 	[1]  i understood everything but my group had problems with their coordinate systems. maybe the similarities between this and vectors (unit vectors) could be emphasized; [2]  why don't (like the coordinates of the origin) have round brackets around them? i understand that the vector needs square brackets but i thought points should be written (0,0,0); [3]  unit cell directions- how they indexed- confused on how to find new origin; 	[1]  i metacogged about my procedural knowledge and gained definitional knowledge of the term "definitional knowledge"; [2]  i learned that i learn well by doing the in class activities with my table as a group; [3]  i learned that i really hate spending about 60% at class each day relearning what we already know what was told to us 2 days prior, or what was told to us twice or thrice already in the same class;
6 	Planes, the technique for drawing them, indexing them and being understandable;Structure of salt 	Planar density calulation;Packing density;Drawing the planes;Family unit and type of brackets 	Group activities;Visualizing;Per & Post test helps;Negative : Not seeing what is written on the white board 	[1]  really liked the concept of planes and their directional relationship to the packing directions; [2]  it was interesting to learn about the specified planes because i understood it; [3]  i liked learning about and drawing the planes, its really fun and i found it interesting; 	[1]  why we were talking about packing densities along non-touching planes. is this where they break?; [2]  determining indices of given planes was confusing and drawing atoms on planes; [3]  i'm still confused about packing density and learning about the planar density, i'm not sure about how to do the calculations; 	[1]  i learn best when i can see what the proffesor is pointing to; [2]  i like the drawing activities, i find them very helpful when it comes to learning about the materials; [3]  i learned that i learn very well by doing in class activities;
7 	Positive effect of defect, dislocastion and impurities on materials' properties;Solid solubility's rules;The examples of defect in the nature, Cactus and diamonds 	Dislocations: how do they affect materials properties, how are they foremd;Last activity ( Effect of defects on materials properties);Grain boundaries;Different type of defects 	Group activities;Pre-studying;Listening to teacher 	[1]  . defects can make material stronger. mix of metals melts varied (slush); [2]  i thought learning about the defects was interesting because i never knew they could actually be a good thing; [3]  i found the solubility graphs of metals interesting how it depends mainly on atomic radius to see if two metals are soluble; 	[1]  the phase diagrams demonstrating solubility were a little confusing because i have only seen phase diagrams with one substance in the past; [2]  the most confusing point for me was the activity on effects of defects on materials properties; [3]  still confused on when to use [ ] and ( ) families of planestypes of directions in a planeedge/ screw dislocations grain boundaries; 	[1]  figuring stuff on my own helps me remember information; [2]  i assume that i'll remember things therefore i don't write it down. now, i realize i'm not as prepared for the test as i thought i'd be; [3]  in the beginning of the semester, when i had a printed copy of the notes before the next lecture and i reviewed them before the lecture, i understood the material much better;
8 	Learning about misconception: Stress or deformation can strengthen materials;Stress-Strain curve;Paper clips hands on activity;Effect of defects on LED example 	How to calculate % el and % RA, what's Ao in % RA calculation;Stress-strain graph calculations;Terminology: what's stress?! What are toughness, stiffness & Fraction total strain 	Group activities;Hands-on activities;5th HW problems (preparing for next class) help 	[1]  the stress-strain curve was cool, & work hardening; [2]  the most interesting thing i found was how stress-strain affect the atoms of the materials; [3]  i find it very interesting that deformation makes a material harder. to me, i originally thought that the more deformation, material has, the weaker it would be; 	[1]  ¡E relating 110 direction to close packed plane of atoms ¡E a for % ra; [2]  i thought the stress-strain curves are confusing because i am still not sure how to calculate some of the stress; [3]  very little was confusing but if i must say, the most confusing thing was the graph on the tensile test concept map (need more explanation of what everything means); 	[1]  i think the stress-strain curves are interesting, i just wish they were explained a little more; [2]  i learn better when i don't get only 5 hours of sleep; [3]  i learned that i learn very well by doing in-class activities and work together as a table;
9 	Real examples of failures and why they happened (mostly airplane crash was mentioned);Different types of failures;Brittle vs Ductil fractions;Types of fatigue behaivior (Fatigue limit);Stell vs cast iron (brooklyn bridge);Tensile test;Influence of Temperature on impac Energy;Rlationship between  fractures/ cracks and the crack length/ crack radius 	Identifying the graphs for different types of failures, reading the graphs and if they have any specific calculation;Griffith Crack Formula and concept;Failure types;Brittle vs Ductile Fracture (also pictures on slide no. 4);Microstuctures of failures;Influence of T on Impact Energy;Fracture Toughness Testing;High Tepm. Creep failure;How to improve fatigue life;Initiation in a failure;All the equations for stress, strain and failures;HW#8 Elingation 	Visual examples and graphs;Group activities;Real life examples 	[1]  how fractures/ cracks are in relation to the crack length & crack radius ? the application in comet 1 planes w/ square windows; [2]  the stress vs. cycles of repetition and the idea that for steel there is a minimum stress of failur to number of cycles; [3]  how the square windows on the comet airplane caused failure, vs. the round windows on the other airplane; 	[1]  on slide #4, are the necking & fracture images a series of steps on individual kind of fracture types ( ? 1-5); [2]  how a failure can be read in a graph or a event of failure and how a ductile or brittle fracture is relevant; [3]  i found reading the graphs of stress corrosion and others similar to it confusing; 	[1]  activities, particulary ones with drawing & visuals help a lot; [2]  the examples of real life failure are a nice way to see the way failures occur and their causes. it's interesting to ? examples to ? causes; [3]  i wish there were more activities, but i know that's hard to get a lot of them in;
10 	Test review;Solid state difusion;Failure activity (comet crash, engine fallsâ€¦, world trade center);Differentprocesses of difusion (like gear's case hardening);All diffusion has activation energy regardless of method 	Different types of diffusion related processing (distinguishing them);Understanding and applications of Fick's laws formula;Activation energy's graph and factors affecting it;Understanding of what diffusion means and how it occur in metals;Mechanical properties calculation (in test review, problem III, stress-strain curve);Test review needs more time 	Group activities (drawing diagram/ filling charts);Reviewing Muddiest Point in the beginning of the class;Test review helped 	[1]  the many uses for diffusing/ metal into another with no melting required; [2]  case hardening of gears is interesting. it's cool that by diffusing carbon the gear strength increases; [3]  the interstitial diffusion of materials (atoms) in a metal that has been heated to almost melting point; 	[1]  i don't understand all of the diffusion types and their importance; [2]  do you really read these? how do i know?how much does the woodpecker elongate? include all assumptions; [3]  i found what diffusion actually is a bit confusing; 	[1]  really liked practice test, wish there was a lot more time for review; [2]  group discussion is beneficial and i'm concerned about the test. material is rushed and there is so much information i don't know what to study. a better review would've helped; [3]  we have gone through a lot of material and i don't know how much detail we need to know for the test. very rushed test review.;
